id,pokemon,species,genus,family
1,bulbasaur,Megophrys montana,Megophrys,Megophryidae
1,bulbasaur,Allium cepa L.,Allium,Amaryllidaceae
2,ivysaur,Megophrys montana,Megophrys,Megophryidae
2,ivysaur,Rafflesia arnoldii,Rafflesia,Rafflesiaceae
3,venusaur,Megophrys montana,Megophrys,Megophryidae
3,venusaur,Rafflesia arnoldii,Rafflesia,Rafflesiaceae
4,charmander,Anolis sagrei,Anolis,Dactyloidae
5,charmeleon,Anolis sagrei,Anolis,Dactyloidae
6,charizard,Draco volans,Draco,Agamidae
7,squirtle,Mauremys japonica marmorata,Mauremys,Geoemydidae
8,wartortle,Mauremys japonica marmorata,Mauremys,Geoemydidae
9,blastoise,Mauremys japonica marmorata,Mauremys,Geoemydidae
10,caterpie,Papilio xuthus,Papilio,Papilionidae
11,metapod,Papilio xuthus,Papilio,Papilionidae
12,butterfree,Aporia crataegi,Aporia,Pieridae
13,weedle,Apis cerana,Apis,Apidae
14,kakuna,Apis cerana,Apis,Apidae
15,beedrill,Apis cerana,Apis,Apidae
16,pidgey,Passer domesticus,Passer,Passeridae
17,pidgeotto,Passer domesticus,Passer,Passeridae
18,pidgeot,Passer domesticus,Passer,Passeridae
19,rattata,Neotoma cinerea,Neotoma,Cricetidae
19,rattata-alola,Rattus rattus,Rattus,Muridae
20,raticate,Ondatra zibethicus,Ondatra,Cricetidae
20,raticate-alola,Rattus rattus,Rattus,Muridae
21,spearow,Lanius tigrinus,Lanius,Laniidae
22,fearow,Anhinga anhinga,Anhinga,Anhingidae
23,ekans,Crotalus adamanteus,Crotalus,Viperidae
24,arbok,Naja naja,Naja,Elapidae
25,pikachu,Ochotona macrotis,Ochotona,Ochotonidae
26,raichu,Ochotona macrotis,Ochotona,Ochotonidae
27,sandshrew-alola,Smutsia temminckii,Smutsia,Manidae
27,sandshrew,Smutsia temminckii,Smutsia,Manidae
28,sandslash-alola,Smutsia temminckii,Smutsia,Manidae
28,sandslash,Smutsia temminckii,Smutsia,Manidae
29,nidoran-f,Pentalagus furnessi,Pentalagus,Leporidae
30,nidorina,Ceratotherium simum,Ceratotherium,Rhinocerotidae
31,nidoqueen,Ceratotherium simum,Ceratotherium,Rhinocerotidae
32,nidoran-m,Pentalagus furnessi,Pentalagus,Leporidae
33,nidorino,Ceratotherium simum,Ceratotherium,Rhinocerotidae
34,nidoking,Ceratotherium simum,Ceratotherium,Rhinocerotidae
35,clefairy,,,
36,clefable,,,
37,vulpix,Vulpes vulpes,Vulpes,Canidae
37,vulpix-alola,Vulpes lagopus,Vulpes,Canidae
38,ninetales-alola,Vulpes lagopus,Vulpes,Canidae
38,ninetales,Vulpes vulpes,Vulpes,Canidae
39,jigglypuff,Oryctolagus cuniculus,Oryctolagus,Leporidae
40,wigglytuff,Oryctolagus cuniculus,Oryctolagus,Leporidae
41,zubat,Desmodus rotundus,Desmodus,Phyllostomidae
42,golbat,Desmodus rotundus,Desmodus,Phyllostomidae
43,oddish,Raphanus sativus,Raphanus,Brassicaceae
44,gloom,Rafflesia hasseltii,Rafflesia,Rafflesiaceae
45,vileplume,Rafflesia hasseltii,Rafflesia,Rafflesiaceae
46,paras,Diceroprocta olympusa,Diceroprocta,Cicadidae
46,paras,Ophiocordyceps sinensis,Ophiocordyceps,Ophiocordycipitaceae
47,parasect,Diceroprocta olympusa,Diceroprocta,Cicadidae
47,parasect,Ophiocordyceps sinensis,Ophiocordyceps,Ophiocordycipitaceae
48,venonat,Pringleophaga marioni,Pringleophaga,Tineidae
49,venomoth,Chrysiridia rhipheus,Chrysiridia,Uraniidae
50,diglett,Mogera wogura,Mogera,Tulpidae
50,diglett-alola,Mogera wogura,Mogera,Tulpidae
51,dugtrio,Mogera wogura,Mogera,Tulpidae
51,dugtrio,Mogera wogura,Mogera,Tulpidae
52,meowth,Felis catus,Felis,Felidae
52,meowth-galar,Felis silvestris,Felis,Felidae
52,meowth-alola,Felis catus,Felis,Felidae
53,persian-alola,Felis catus,Felis,Felidae
53,persian,Felis catus,Felis,Felidae
54,psyduck,Anas platyrhynchos,Anas,Anatidae
55,golduck,Anas platyrhynchos,Anas,Anatidae
56,mankey,Macaca nemestrina,Macaca,Cercopithecidae
57,primeape,Macaca nemestrina,Macaca,Cercopithecidae
58,growlithe,Panthera leo,Panthera,Felidae
58,growlithe-hisui,Panthera leo,Panthera,Felidae
58,growlithe,Canis familiaris,Canis,Canidae
58,growlithe-hisui,Canis familiaris,Canis,Canidae
59,arcanine,Canis familiaris,Canis,Canidae
59,arcanine-hisui,Canis familiaris,Canis,Canidae
59,arcanine,Panthera leo,Panthera,Felidae
59,arcanine-hisui,Panthera leo,Panthera,Felidae
60,poliwag,Cochranella mache,Cochranella,Centrolenidae
61,poliwhirl,Cochranella mache,Cochranella,Centrolenidae
62,poliwrath,Cochranella mache,Cochranella,Centrolenidae
63,abra,Didelphis virginiana,Didelphis,Didelphidae
64,kadabra,Didelphis virginiana,Didelphis,Didelphidae
65,alakazam,Didelphis virginiana,Didelphis,Didelphidae
66,machop,,,
67,machoke,,,
68,machamp,,,
69,bellsprout,Nepenthes ampullaria,Nepenthes,Nepenthaceae
